# lattice site	net spin density	electron density	spin-up electron density	spin-down electron density
1.00	-0.00	1.00	0.50	0.50
2.00	0.00	1.00	0.50	0.50
3.00	0.00	1.00	0.50	0.50
4.00	-0.00	1.00	0.50	0.50
5.00	-0.00	1.00	0.50	0.50
6.00	-0.00	1.00	0.50	0.50
7.00	0.00	1.00	0.50	0.50
8.00	-0.00	1.00	0.50	0.50
9.00	-0.00	1.00	0.50	0.50
10.00	0.00	1.00	0.50	0.50
11.00	-0.00	1.00	0.50	0.50
12.00	0.00	1.00	0.50	0.50
13.00	-0.00	1.00	0.50	0.50
14.00	-0.00	1.00	0.50	0.50
15.00	0.00	1.00	0.50	0.50
16.00	-0.00	1.00	0.50	0.50
17.00	0.00	1.00	0.50	0.50
18.00	0.00	1.00	0.50	0.50
19.00	-0.00	1.00	0.50	0.50
20.00	0.00	1.00	0.50	0.50
21.00	-0.00	1.00	0.50	0.50
22.00	0.00	1.00	0.50	0.50
23.00	-0.00	1.00	0.50	0.50
24.00	-0.00	1.00	0.50	0.50
25.00	-0.00	1.00	0.50	0.50
26.00	-0.00	1.00	0.50	0.50
27.00	-0.00	1.00	0.50	0.50
28.00	0.00	1.00	0.50	0.50
29.00	0.00	1.00	0.50	0.50
30.00	-0.00	1.00	0.50	0.50
# Number of iterations = 12
